property_id,title,city,location,property_type,bhk,price,area_sqft,floor,total_floors,parking,furnished,amenities,metro_distance_km,availability,description
PROP-1011,3 BHK Apartment in Metro Heights,Gurgaon,Sector 57,Apartment,3,11000000,1880,2,28,False,Semi-Furnished,Lift; 24x7 Security; Children's Play Area; CCTV; Park; Power Backup; Intercom,1.4,Available Now,"Fictional 3 BHK apartment in Sector 57, Gurgaon. 1880 sq ft home with semi-furnished interiors, no dedicated parking, approximately 1.4 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1012,3 BHK Apartment in Aria Residency,Gurgaon,Sector 50,Apartment,3,10350000,1500,9,28,True,Unfurnished,Swimming Pool; EV Charging; Jogging Track; Children's Play Area; Visitor Parking; Lift; Clubhouse; Power Backup; CCTV,2.3,Available in 60 Days,"Fictional 3 BHK apartment in Sector 50, Gurgaon. 1500 sq ft home with unfurnished interiors, dedicated parking, approximately 2.3 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1013,3 BHK Villa in Skyline Homes,Gurgaon,Sector 54,Villa,3,11650000,1920,14,24,True,Semi-Furnished,Power Backup; Jogging Track; Intercom; Visitor Parking; Children's Play Area; 24x7 Security; Gym,1.4,Available in 30 Days,"Fictional 3 BHK villa in Sector 54, Gurgaon. 1920 sq ft home with semi-furnished interiors, dedicated parking, approximately 1.4 km from the nearest metro connection. Located near Golf Course Road with a range of community amenities."
PROP-1014,3 BHK Penthouse in Central Park Residency,Gurgaon,Sector 67,Penthouse,3,12600000,1530,7,24,True,Semi-Furnished,Children's Play Area; Park; Community Hall; Lift; Power Backup; Clubhouse,3.1,Available in 30 Days,"Fictional 3 BHK penthouse in Sector 67, Gurgaon. 1530 sq ft home with semi-furnished interiors, dedicated parking, approximately 3.1 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1015,3 BHK Apartment in Greenview Towers,Gurgaon,Sector 70,Apartment,3,9650000,1910,1,15,True,Unfurnished,Gym; CCTV; EV Charging; Swimming Pool; Jogging Track; Clubhouse,5.5,Available Now,"Fictional 3 BHK apartment in Sector 70, Gurgaon. 1910 sq ft home with unfurnished interiors, dedicated parking, approximately 5.5 km from the nearest metro connection. Located near Southern Peripheral Road with a range of community amenities."
PROP-1016,4 BHK Builder Floor in Park Avenue,Gurgaon,Sector 82,Builder Floor,4,19100000,2390,26,28,False,Semi-Furnished,Gym; 24x7 Security; Swimming Pool; Park; Intercom; CCTV; EV Charging; Visitor Parking; Clubhouse; Community Hall,5.8,Available in 30 Days,"Fictional 4 BHK builder floor in Sector 82, Gurgaon. 2390 sq ft home with semi-furnished interiors, no dedicated parking, approximately 5.8 km from the nearest metro connection. Located near Dwarka Expressway with a range of community amenities."
PROP-1017,4 BHK Apartment in Palm Heights,Gurgaon,Sector 92,Apartment,4,16050000,2140,6,8,False,Semi-Furnished,Jogging Track; 24x7 Security; EV Charging; Visitor Parking; Intercom; CCTV; Power Backup; Children's Play Area; Swimming Pool,5.1,Available Now,"Fictional 4 BHK apartment in Sector 92, Gurgaon. 2140 sq ft home with semi-furnished interiors, no dedicated parking, approximately 5.1 km from the nearest metro connection. Located near Dwarka Expressway with a range of community amenities."
PROP-1018,3 BHK Apartment in Urban Nest,Gurgaon,Sector 43,Apartment,3,13100000,1710,28,32,False,Fully Furnished,Power Backup; CCTV; Gym; Community Hall; Lift; Swimming Pool; Park; 24x7 Security; Jogging Track; Clubhouse,2.3,Available in 30 Days,"Fictional 3 BHK apartment in Sector 43, Gurgaon. 1710 sq ft home with fully furnished interiors, no dedicated parking, approximately 2.3 km from the nearest metro connection. Located near Golf Course Road with a range of community amenities."
PROP-1019,3 BHK Penthouse in Metro Heights,Gurgaon,Sector 66,Penthouse,3,14150000,1480,3,18,True,Unfurnished,Gym; Lift; Community Hall; Visitor Parking; 24x7 Security; Intercom; Swimming Pool,3.9,Available Now,"Fictional 3 BHK penthouse in Sector 66, Gurgaon. 1480 sq ft home with unfurnished interiors, dedicated parking, approximately 3.9 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1020,3 BHK Villa in Aria Residency,Gurgaon,Sector 79,Villa,3,11000000,1520,12,18,True,Unfurnished,Swimming Pool; Lift; 24x7 Security; Power Backup; EV Charging; Clubhouse,6.3,Available Now,"Fictional 3 BHK villa in Sector 79, Gurgaon. 1520 sq ft home with unfurnished interiors, dedicated parking, approximately 6.3 km from the nearest metro connection. Located near SPR with a range of community amenities."
PROP-1021,3 BHK Villa in Skyline Homes,Gurgaon,Sector 57,Villa,3,10700000,1510,6,8,True,Unfurnished,Clubhouse; Swimming Pool; CCTV; Jogging Track; Power Backup; Lift; Park,1.9,Available Now,"Fictional 3 BHK villa in Sector 57, Gurgaon. 1510 sq ft home with unfurnished interiors, dedicated parking, approximately 1.9 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1022,2 BHK Apartment in Central Park Residency,Gurgaon,Sector 50,Apartment,2,6650000,1020,7,8,True,Fully Furnished,Power Backup; Children's Play Area; Intercom; EV Charging; Visitor Parking; Clubhouse; Community Hall; Swimming Pool; Jogging Track,4.0,Available Now,"Fictional 2 BHK apartment in Sector 50, Gurgaon. 1020 sq ft home with fully furnished interiors, dedicated parking, approximately 4.0 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1023,2 BHK Villa in Greenview Towers,Gurgaon,Sector 54,Villa,2,8450000,1110,14,32,True,Unfurnished,Community Hall; CCTV; Park; Intercom; Clubhouse; Swimming Pool; Visitor Parking; Lift,1.1,Available in 30 Days,"Fictional 2 BHK villa in Sector 54, Gurgaon. 1110 sq ft home with unfurnished interiors, dedicated parking, approximately 1.1 km from the nearest metro connection. Located near Golf Course Road with a range of community amenities."
PROP-1024,4 BHK Apartment in Park Avenue,Gurgaon,Sector 67,Apartment,4,20100000,2380,1,8,True,Semi-Furnished,Power Backup; EV Charging; Gym; Children's Play Area; CCTV; Park; Visitor Parking; Jogging Track; Lift,3.2,Available Now,"Fictional 4 BHK apartment in Sector 67, Gurgaon. 2380 sq ft home with semi-furnished interiors, dedicated parking, approximately 3.2 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1025,3 BHK Builder Floor in Palm Heights,Gurgaon,Sector 70,Builder Floor,3,10300000,1830,12,12,True,Semi-Furnished,Park; Lift; Jogging Track; 24x7 Security; Gym; Visitor Parking; Swimming Pool; Children's Play Area; Clubhouse,3.8,Available in 30 Days,"Fictional 3 BHK builder floor in Sector 70, Gurgaon. 1830 sq ft home with semi-furnished interiors, dedicated parking, approximately 3.8 km from the nearest metro connection. Located near Southern Peripheral Road with a range of community amenities."
PROP-1026,2 BHK Builder Floor in Urban Nest,Gurgaon,Sector 82,Builder Floor,2,8600000,1000,24,24,True,Unfurnished,Intercom; Clubhouse; Power Backup; Jogging Track; Visitor Parking; EV Charging; Gym; Swimming Pool,5.5,Available in 30 Days,"Fictional 2 BHK builder floor in Sector 82, Gurgaon. 1000 sq ft home with unfurnished interiors, dedicated parking, approximately 5.5 km from the nearest metro connection. Located near Dwarka Expressway with a range of community amenities."
PROP-1027,3 BHK Villa in Metro Heights,Gurgaon,Sector 92,Villa,3,13550000,1730,10,24,True,Fully Furnished,Power Backup; Swimming Pool; Jogging Track; 24x7 Security; Children's Play Area; Clubhouse; CCTV; Park; Intercom,6.1,Available in 30 Days,"Fictional 3 BHK villa in Sector 92, Gurgaon. 1730 sq ft home with fully furnished interiors, dedicated parking, approximately 6.1 km from the nearest metro connection. Located near Dwarka Expressway with a range of community amenities."
PROP-1028,3 BHK Penthouse in Aria Residency,Gurgaon,Sector 43,Penthouse,3,10550000,1870,4,8,False,Semi-Furnished,24x7 Security; EV Charging; Gym; Children's Play Area; Power Backup; Clubhouse,1.5,Available Now,"Fictional 3 BHK penthouse in Sector 43, Gurgaon. 1870 sq ft home with semi-furnished interiors, no dedicated parking, approximately 1.5 km from the nearest metro connection. Located near Golf Course Road with a range of community amenities."
PROP-1029,3 BHK Apartment in Skyline Homes,Gurgaon,Sector 66,Apartment,3,13850000,1840,14,18,True,Unfurnished,Clubhouse; Gym; Community Hall; 24x7 Security; Visitor Parking; Power Backup,4.3,Available Now,"Fictional 3 BHK apartment in Sector 66, Gurgaon. 1840 sq ft home with unfurnished interiors, dedicated parking, approximately 4.3 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1030,2 BHK Builder Floor in Central Park Residency,Gurgaon,Sector 79,Builder Floor,2,9900000,1020,4,15,True,Semi-Furnished,Community Hall; Lift; Power Backup; Gym; Jogging Track; 24x7 Security; CCTV; Intercom; Swimming Pool; Visitor Parking,6.9,Available in 30 Days,"Fictional 2 BHK builder floor in Sector 79, Gurgaon. 1020 sq ft home with semi-furnished interiors, dedicated parking, approximately 6.9 km from the nearest metro connection. Located near SPR with a range of community amenities."
PROP-1031,3 BHK Apartment in Greenview Towers,Gurgaon,Sector 57,Apartment,3,14250000,1880,6,10,False,Semi-Furnished,Children's Play Area; Gym; Lift; Clubhouse; 24x7 Security; Visitor Parking; EV Charging; Swimming Pool; Intercom; Power Backup,2.9,Available in 30 Days,"Fictional 3 BHK apartment in Sector 57, Gurgaon. 1880 sq ft home with semi-furnished interiors, no dedicated parking, approximately 2.9 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1032,3 BHK Builder Floor in Park Avenue,Gurgaon,Sector 50,Builder Floor,3,10650000,1560,14,32,False,Fully Furnished,Children's Play Area; Swimming Pool; Clubhouse; Community Hall; Visitor Parking; 24x7 Security; Gym,3.8,Available Now,"Fictional 3 BHK builder floor in Sector 50, Gurgaon. 1560 sq ft home with fully furnished interiors, no dedicated parking, approximately 3.8 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1033,3 BHK Villa in Palm Heights,Gurgaon,Sector 54,Villa,3,13050000,1820,11,12,True,Unfurnished,Power Backup; 24x7 Security; Clubhouse; Visitor Parking; EV Charging; Children's Play Area; CCTV; Park,0.7,Available Now,"Fictional 3 BHK villa in Sector 54, Gurgaon. 1820 sq ft home with unfurnished interiors, dedicated parking, approximately 0.7 km from the nearest metro connection. Located near Golf Course Road with a range of community amenities."
PROP-1034,2 BHK Builder Floor in Urban Nest,Gurgaon,Sector 67,Builder Floor,2,8150000,1270,10,15,True,Semi-Furnished,Lift; EV Charging; Swimming Pool; Power Backup; Visitor Parking; Intercom; Clubhouse; Park; CCTV; Jogging Track,4.0,Available Now,"Fictional 2 BHK builder floor in Sector 67, Gurgaon. 1270 sq ft home with semi-furnished interiors, dedicated parking, approximately 4.0 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1035,3 BHK Apartment in Metro Heights,Gurgaon,Sector 70,Apartment,3,13500000,1740,7,12,True,Semi-Furnished,Intercom; 24x7 Security; Clubhouse; Power Backup; Visitor Parking; Community Hall,5.2,Available in 30 Days,"Fictional 3 BHK apartment in Sector 70, Gurgaon. 1740 sq ft home with semi-furnished interiors, dedicated parking, approximately 5.2 km from the nearest metro connection. Located near Southern Peripheral Road with a range of community amenities."
PROP-1036,3 BHK Apartment in Aria Residency,Gurgaon,Sector 82,Apartment,3,10950000,1560,7,28,True,Unfurnished,Intercom; Swimming Pool; Clubhouse; Visitor Parking; Park; CCTV,4.8,Available Now,"Fictional 3 BHK apartment in Sector 82, Gurgaon. 1560 sq ft home with unfurnished interiors, dedicated parking, approximately 4.8 km from the nearest metro connection. Located near Dwarka Expressway with a range of community amenities."
PROP-1037,4 BHK Apartment in Skyline Homes,Gurgaon,Sector 92,Apartment,4,15850000,2050,24,24,False,Semi-Furnished,Jogging Track; Visitor Parking; Lift; Park; Children's Play Area; Power Backup; CCTV; EV Charging; Clubhouse; Gym,7.1,Available in 60 Days,"Fictional 4 BHK apartment in Sector 92, Gurgaon. 2050 sq ft home with semi-furnished interiors, no dedicated parking, approximately 7.1 km from the nearest metro connection. Located near Dwarka Expressway with a range of community amenities."
PROP-1038,4 BHK Apartment in Central Park Residency,Gurgaon,Sector 43,Apartment,4,17900000,2150,18,32,True,Fully Furnished,24x7 Security; Intercom; Children's Play Area; EV Charging; Jogging Track; Park; Swimming Pool; Clubhouse; CCTV,2.7,Available in 30 Days,"Fictional 4 BHK apartment in Sector 43, Gurgaon. 2150 sq ft home with fully furnished interiors, dedicated parking, approximately 2.7 km from the nearest metro connection. Located near Golf Course Road with a range of community amenities."
PROP-1039,2 BHK Apartment in Greenview Towers,Gurgaon,Sector 66,Apartment,2,7150000,1220,1,24,False,Unfurnished,Jogging Track; Park; Power Backup; Lift; Gym; Clubhouse,3.3,Available in 30 Days,"Fictional 2 BHK apartment in Sector 66, Gurgaon. 1220 sq ft home with unfurnished interiors, no dedicated parking, approximately 3.3 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1040,4 BHK Builder Floor in Park Avenue,Gurgaon,Sector 79,Builder Floor,4,17800000,2100,14,18,True,Semi-Furnished,Community Hall; Children's Play Area; Park; Lift; Power Backup; CCTV; Clubhouse; 24x7 Security; Swimming Pool; Visitor Parking,6.7,Available in 30 Days,"Fictional 4 BHK builder floor in Sector 79, Gurgaon. 2100 sq ft home with semi-furnished interiors, dedicated parking, approximately 6.7 km from the nearest metro connection. Located near SPR with a range of community amenities."
PROP-1041,2 BHK Builder Floor in Palm Heights,Gurgaon,Sector 57,Builder Floor,2,8250000,1150,13,18,False,Unfurnished,Power Backup; EV Charging; Park; Lift; Gym; Visitor Parking; Children's Play Area; CCTV,1.9,Available Now,"Fictional 2 BHK builder floor in Sector 57, Gurgaon. 1150 sq ft home with unfurnished interiors, no dedicated parking, approximately 1.9 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1042,3 BHK Villa in Urban Nest,Gurgaon,Sector 50,Villa,3,13300000,1780,16,24,True,Unfurnished,EV Charging; Visitor Parking; CCTV; Power Backup; Swimming Pool; Jogging Track; Gym; Lift; Children's Play Area; Clubhouse,2.3,Available Now,"Fictional 3 BHK villa in Sector 50, Gurgaon. 1780 sq ft home with unfurnished interiors, dedicated parking, approximately 2.3 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1043,2 BHK Penthouse in Metro Heights,Gurgaon,Sector 54,Penthouse,2,7350000,1130,7,18,True,Semi-Furnished,Clubhouse; Gym; Lift; 24x7 Security; Swimming Pool; Visitor Parking; Children's Play Area,2.4,Available Now,"Fictional 2 BHK penthouse in Sector 54, Gurgaon. 1130 sq ft home with semi-furnished interiors, dedicated parking, approximately 2.4 km from the nearest metro connection. Located near Golf Course Road with a range of community amenities."
PROP-1044,2 BHK Apartment in Aria Residency,Gurgaon,Sector 67,Apartment,2,8550000,1280,29,32,True,Fully Furnished,Clubhouse; Power Backup; Community Hall; Gym; Swimming Pool; Visitor Parking,4.0,Available Now,"Fictional 2 BHK apartment in Sector 67, Gurgaon. 1280 sq ft home with fully furnished interiors, dedicated parking, approximately 4.0 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1045,3 BHK Apartment in Skyline Homes,Gurgaon,Sector 70,Apartment,3,14150000,1840,1,12,False,Semi-Furnished,Swimming Pool; Clubhouse; CCTV; Visitor Parking; EV Charging; Children's Play Area; Jogging Track; Power Backup; Intercom; Gym,4.8,Available in 30 Days,"Fictional 3 BHK apartment in Sector 70, Gurgaon. 1840 sq ft home with semi-furnished interiors, no dedicated parking, approximately 4.8 km from the nearest metro connection. Located near Southern Peripheral Road with a range of community amenities."
PROP-1046,2 BHK Apartment in Central Park Residency,Gurgaon,Sector 82,Apartment,2,7250000,1070,1,10,True,Semi-Furnished,24x7 Security; Community Hall; Intercom; Clubhouse; Lift; Park; EV Charging; Gym; Children's Play Area; Jogging Track,5.5,Available in 30 Days,"Fictional 2 BHK apartment in Sector 82, Gurgaon. 1070 sq ft home with semi-furnished interiors, dedicated parking, approximately 5.5 km from the nearest metro connection. Located near Dwarka Expressway with a range of community amenities."
PROP-1047,3 BHK Apartment in Greenview Towers,Gurgaon,Sector 92,Apartment,3,11050000,1520,20,32,True,Semi-Furnished,Intercom; Community Hall; Gym; Children's Play Area; Visitor Parking; Jogging Track,5.7,Available Now,"Fictional 3 BHK apartment in Sector 92, Gurgaon. 1520 sq ft home with semi-furnished interiors, dedicated parking, approximately 5.7 km from the nearest metro connection. Located near Dwarka Expressway with a range of community amenities."
PROP-1048,2 BHK Builder Floor in Park Avenue,Gurgaon,Sector 43,Builder Floor,2,7900000,1100,4,24,False,Unfurnished,CCTV; 24x7 Security; Park; Power Backup; EV Charging; Children's Play Area; Gym; Jogging Track; Lift; Swimming Pool,1.5,Available Now,"Fictional 2 BHK builder floor in Sector 43, Gurgaon. 1100 sq ft home with unfurnished interiors, no dedicated parking, approximately 1.5 km from the nearest metro connection. Located near Golf Course Road with a range of community amenities."
PROP-1049,4 BHK Apartment in Palm Heights,Gurgaon,Sector 66,Apartment,4,17200000,2160,3,28,True,Fully Furnished,Intercom; Gym; Power Backup; Swimming Pool; Jogging Track; Children's Play Area; 24x7 Security; Visitor Parking; Community Hall; CCTV,2.7,Available Now,"Fictional 4 BHK apartment in Sector 66, Gurgaon. 2160 sq ft home with fully furnished interiors, dedicated parking, approximately 2.7 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1050,4 BHK Apartment in Urban Nest,Gurgaon,Sector 79,Apartment,4,20050000,2500,3,10,True,Fully Furnished,Children's Play Area; Intercom; EV Charging; Lift; Jogging Track; Power Backup; Park; Clubhouse,7.0,Available Now,"Fictional 4 BHK apartment in Sector 79, Gurgaon. 2500 sq ft home with fully furnished interiors, dedicated parking, approximately 7.0 km from the nearest metro connection. Located near SPR with a range of community amenities."
PROP-1051,3 BHK Apartment in Modern Heights,Noida,Sector 75,Apartment,3,9400000,1760,27,28,True,Unfurnished,Lift; Jogging Track; CCTV; Park; Intercom; EV Charging; 24x7 Security; Community Hall; Power Backup,2.5,Available in 30 Days,"Fictional 3 BHK apartment in Sector 75, Noida. 1760 sq ft home with unfurnished interiors, dedicated parking, approximately 2.5 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1052,2 BHK Apartment in Green Valley,Noida,Sector 78,Apartment,2,6650000,1050,7,15,True,Fully Furnished,Lift; Swimming Pool; Intercom; Power Backup; EV Charging; CCTV; Jogging Track,3.6,Available Now,"Fictional 2 BHK apartment in Sector 78, Noida. 1050 sq ft home with fully furnished interiors, dedicated parking, approximately 3.6 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1053,3 BHK Apartment in Noida Central,Noida,Sector 137,Apartment,3,8300000,1720,19,20,False,Fully Furnished,Swimming Pool; Clubhouse; Park; Community Hall; 24x7 Security; Children's Play Area; Intercom; Jogging Track; EV Charging,2.4,Available in 30 Days,"Fictional 3 BHK apartment in Sector 137, Noida. 1720 sq ft home with fully furnished interiors, no dedicated parking, approximately 2.4 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1054,2 BHK Penthouse in Sky Gardens,Noida,Sector 150,Penthouse,2,8050000,1340,4,18,True,Semi-Furnished,Power Backup; Swimming Pool; Children's Play Area; Gym; Jogging Track; Community Hall; CCTV,4.2,Available in 30 Days,"Fictional 2 BHK penthouse in Sector 150, Noida. 1340 sq ft home with semi-furnished interiors, dedicated parking, approximately 4.2 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1055,3 BHK Penthouse in Urban Grandeur,Noida,Sector 120,Penthouse,3,10500000,1790,18,28,False,Fully Furnished,Swimming Pool; Power Backup; CCTV; Gym; EV Charging; Community Hall; Lift; Clubhouse,4.1,Available Now,"Fictional 3 BHK penthouse in Sector 120, Noida. 1790 sq ft home with fully furnished interiors, no dedicated parking, approximately 4.1 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1056,3 BHK Apartment in Garden View,Noida,Sector 128,Apartment,3,10850000,1510,5,10,True,Fully Furnished,Gym; Community Hall; Clubhouse; Park; Children's Play Area; Jogging Track; CCTV; Swimming Pool; Lift; Visitor Parking,5.2,Available Now,"Fictional 3 BHK apartment in Sector 128, Noida. 1510 sq ft home with fully furnished interiors, dedicated parking, approximately 5.2 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1057,3 BHK Apartment in Elite Residency,Noida,Sector 74,Apartment,3,9000000,1740,16,24,True,Semi-Furnished,Park; 24x7 Security; CCTV; Swimming Pool; Gym; Power Backup; Lift; Intercom; Visitor Parking; Jogging Track,3.7,Available Now,"Fictional 3 BHK apartment in Sector 74, Noida. 1740 sq ft home with semi-furnished interiors, dedicated parking, approximately 3.7 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1058,4 BHK Apartment in Lakeview Towers,Noida,Sector 62,Apartment,4,16150000,2630,22,28,False,Fully Furnished,Jogging Track; EV Charging; Swimming Pool; Power Backup; 24x7 Security; Children's Play Area,1.8,Available in 60 Days,"Fictional 4 BHK apartment in Sector 62, Noida. 2630 sq ft home with fully furnished interiors, no dedicated parking, approximately 1.8 km from the nearest metro connection. Located near Noida with a range of community amenities."
PROP-1059,3 BHK Apartment in Modern Heights,Noida,Sector 143,Apartment,3,11250000,1870,11,32,True,Unfurnished,Lift; Power Backup; CCTV; Visitor Parking; EV Charging; Intercom; Jogging Track; Community Hall; Children's Play Area; Swimming Pool,5.0,Available in 30 Days,"Fictional 3 BHK apartment in Sector 143, Noida. 1870 sq ft home with unfurnished interiors, dedicated parking, approximately 5.0 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1060,3 BHK Apartment in Green Valley,Noida,Sector 134,Apartment,3,7850000,1570,10,15,True,Unfurnished,Park; Intercom; EV Charging; Power Backup; Lift; CCTV; Visitor Parking; Community Hall; Swimming Pool; 24x7 Security,5.0,Available in 60 Days,"Fictional 3 BHK apartment in Sector 134, Noida. 1570 sq ft home with unfurnished interiors, dedicated parking, approximately 5.0 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1061,4 BHK Penthouse in Noida Central,Noida,Sector 75,Penthouse,4,12000000,2670,12,20,True,Semi-Furnished,CCTV; EV Charging; Power Backup; Lift; Swimming Pool; Jogging Track; Intercom; 24x7 Security; Community Hall; Clubhouse,2.5,Available in 60 Days,"Fictional 4 BHK penthouse in Sector 75, Noida. 2670 sq ft home with semi-furnished interiors, dedicated parking, approximately 2.5 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
PROP-1062,3 BHK Penthouse in Sky Gardens,Noida,Sector 78,Penthouse,3,10450000,1590,1,8,True,Unfurnished,Lift; EV Charging; CCTV; Park; Swimming Pool; 24x7 Security; Visitor Parking; Power Backup; Community Hall,3.5,Available in 60 Days,"Fictional 3 BHK penthouse in Sector 78, Noida. 1590 sq ft home with unfurnished interiors, dedicated parking, approximately 3.5 km from the nearest metro connection. Located near Noida Expressway with a range of community amenities."
